,key,title,label,carrier
0,GREATEST,Greatest Hits - Official Studio / Compilation,Columbia,1CD
1,TRACKS 18TRACKS,Tracks - Official Studio / Live Box Set,Columbia,4CD 1CD
2,ESSENTIAL ESSENTIAL: BONUS,The Essential Bruce Springsteen - Official Studio Set The Essential 2003 Bonus Disc,Columbia,2CD 1CD
3,PROMISE,The Promise - Official Studio Set,Columbia,2CD
4,TTTB RIVER: SINGLE RIVER: OUTTAKES,The Ties That Bind - Official Studio Set,Columbia,2CD 1CD 1CD
5,CHAPTER,Chapter And Verse - Official Studio Set,Columbia,1CD
6,1984AC,"June 4, 1984 - An Alternative Companion",JEMS,1CD
7,AM,American Madness - Remastered Darkness Outtakes,Ev2,4CD
8,ASOBS,Another Side Of Bruce Springsteen,Columbus {CLBS},1CD
9,AT,Acoustic Tales 1979-1986,Backstreet {BSR},3LP
10,ATEOD,At The Edge Of Darkness,Musique Sabot {MS),1CD
11,ATMF,A Tear Must Fall - Remastered River Outtakes,Ev2,3CD
12,BACK,Backsides,,1CD
13,BB,Blood Brothers,International Noise {IN},1CD
14,BFG,Bound For Glory,Flamingo Records {FR},1CD
15,BIS,Born In The Studio,Archive Productions {AP},1CD
16,BOB,The Boss Of The Boardwalk,Big Boss Man {BBM},1LP
17,BSS2,The Bruce Springsteen Story Vol.2 - The Castiles,E. St. Records {ESR},1CD
18,BSS3,The Bruce Springsteen Story Vol.3 - 1970,E. St. Records {ESR},1CD
19,BTF,Before The Fame,Pony Express {PE},1CD
20,BTF2,Before The Fame (v2),Pony Express {PE},1CD
21,BTF9,Before The Fame ('99),Pony Express {PE},2CD
22,BTRCS,Born To Run Complete Sessions,H Production {HP},2CD
23,BTRO,Born To Run Outtakes,,1CD
24,BTRS,Born To Run Sessions,,3CD
25,BUERM,Born In the USA - Essential Rare Masters,,1CD
26,BUOR,Born In The U.S.A. Outtakes Remastered,Moonchild Records {MR},2CD
27,BWNH,Born With Nothin' In Hands - The Remastered Born To Run Outtakes,Ev2,1CD
28,CAST,Castaway,Classic Unlimited {CU},1CD
29,DBTR,Down By The River,,2CD
30,DDITV,Deep Down In The Vaults,E. St. Records {ESR},3CD
31,DDO,The Definitive Remastered Darkness Outtakes,The Godfatherecords {GFR},2CD
32,DDOC,The Definitive Darkness Outtakes Collection,E. St. Records {ESR},2CD
